timestamp,date,time,agent,key,old_value,new_value
2026-04-15T10:35:37.423Z,2026-04-15,10:35:37,SCALPER1,maxTrades,10,10
2026-04-15T10:35:37.423Z,2026-04-15,10:35:37,SCALPER1,marginMode,crossed,crossed
2026-04-15T10:35:37.423Z,2026-04-15,10:35:37,SCALPER1,rsiPeriod,12,12
2026-04-15T10:35:37.424Z,2026-04-15,10:35:37,SCALPER1,rsiOversold,35,35
2026-04-15T10:35:37.424Z,2026-04-15,10:35:37,SCALPER1,rsiOverbought,70,70
2026-04-15T10:35:37.424Z,2026-04-15,10:35:37,SCALPER1,emaEnabled,true,true
2026-04-15T10:35:37.424Z,2026-04-15,10:35:37,SCALPER1,emaPeriod,50,50
2026-04-15T10:35:37.424Z,2026-04-15,10:35:37,SCALPER1,emaTf,Min60,Min60
2026-04-15T10:35:37.425Z,2026-04-15,10:35:37,SCALPER1,cooldownMin,10,10
2026-04-15T10:35:37.425Z,2026-04-15,10:35:37,SCALPER1,minVol24h,50000,50000
2026-04-15T12:43:02.187Z,2026-04-15,12:43:02,SCALPER1,leverage,15,15
2026-04-15T12:43:02.187Z,2026-04-15,12:43:02,SCALPER1,riskPct,5,1
2026-04-15T12:43:02.187Z,2026-04-15,12:43:02,SCALPER1,tp,2,80
2026-04-15T12:43:02.188Z,2026-04-15,12:43:02,SCALPER1,sl,0.5,20
2026-04-15T12:43:02.188Z,2026-04-15,12:43:02,SCALPER1,maxTrades,10,10
2026-04-15T12:43:02.188Z,2026-04-15,12:43:02,SCALPER1,marginMode,crossed,crossed
2026-04-15T12:43:02.188Z,2026-04-15,12:43:02,SCALPER1,rsiPeriod,12,12
2026-04-15T12:43:02.188Z,2026-04-15,12:43:02,SCALPER1,rsiOversold,35,35
2026-04-15T12:43:02.189Z,2026-04-15,12:43:02,SCALPER1,rsiOverbought,70,70
2026-04-15T12:43:02.189Z,2026-04-15,12:43:02,SCALPER1,emaEnabled,true,true
2026-04-15T12:43:02.189Z,2026-04-15,12:43:02,SCALPER1,emaPeriod,50,50
2026-04-15T12:43:02.189Z,2026-04-15,12:43:02,SCALPER1,emaTf,Min60,Min60
2026-04-15T12:43:02.189Z,2026-04-15,12:43:02,SCALPER1,cooldownMin,10,10
2026-04-15T12:43:02.190Z,2026-04-15,12:43:02,SCALPER1,minVol24h,50000,50000
2026-04-15T14:18:22.951Z,2026-04-15,14:18:22,SCALPER1,rsiPeriod,12,10
2026-04-15T14:18:22.951Z,2026-04-15,14:18:22,SCALPER1,rsiOversold,35,15
2026-04-15T14:18:22.952Z,2026-04-15,14:18:22,SCALPER1,rsiOverbought,70,80
2026-04-15T14:18:22.952Z,2026-04-15,14:18:22,SCALPER1,leverage,15,10
2026-04-15T14:18:22.952Z,2026-04-15,14:18:22,SCALPER1,tp,80,100
2026-04-15T14:18:22.952Z,2026-04-15,14:18:22,SCALPER1,sl,20,25
2026-04-15T14:19:05.178Z,2026-04-15,14:19:05,SCALPER1,rsiPeriod,10,10
2026-04-15T14:19:05.178Z,2026-04-15,14:19:05,SCALPER1,rsiOversold,15,15
2026-04-15T14:19:05.178Z,2026-04-15,14:19:05,SCALPER1,rsiOverbought,80,80
2026-04-15T14:19:05.178Z,2026-04-15,14:19:05,SCALPER1,leverage,10,10
2026-04-15T14:19:05.179Z,2026-04-15,14:19:05,SCALPER1,tp,100,100
2026-04-15T14:19:05.179Z,2026-04-15,14:19:05,SCALPER1,sl,25,25
2026-04-15T14:21:58.281Z,2026-04-15,14:21:58,SCALPER2,leverage,20,20
2026-04-15T14:21:58.282Z,2026-04-15,14:21:58,SCALPER2,riskPct,3,1
2026-04-15T14:21:58.282Z,2026-04-15,14:21:58,SCALPER2,tp,25,80
2026-04-15T14:21:58.282Z,2026-04-15,14:21:58,SCALPER2,sl,15,25
2026-04-15T14:21:58.283Z,2026-04-15,14:21:58,SCALPER2,maxTrades,5,5
2026-04-15T14:21:58.283Z,2026-04-15,14:21:58,SCALPER2,marginMode,crossed,crossed
2026-04-15T14:21:58.283Z,2026-04-15,14:21:58,SCALPER2,vwapDeviation,0.3,0.3
2026-04-15T14:21:58.283Z,2026-04-15,14:21:58,SCALPER2,minImpulse,5,5
2026-04-15T14:21:58.284Z,2026-04-15,14:21:58,SCALPER2,trailingStop,true,true
2026-04-15T14:21:58.284Z,2026-04-15,14:21:58,SCALPER2,trailActivation,1,1
2026-04-15T14:21:58.284Z,2026-04-15,14:21:58,SCALPER2,trailDistance,0.5,0.5
2026-04-15T14:21:58.284Z,2026-04-15,14:21:58,SCALPER2,sessionFilter,false,false
2026-04-15T14:21:58.285Z,2026-04-15,14:21:58,SCALPER2,sessionFrom,,
2026-04-15T14:21:58.285Z,2026-04-15,14:21:58,SCALPER2,sessionUntil,,
2026-04-15T14:21:58.285Z,2026-04-15,14:21:58,SCALPER2,sessionTz,UTC,UTC
